Fecha recibo|Nro de recibo|Importe|Razón Social|CUIT|Fecha Factura|Nro de factura|Monto de factura|Medio de pago|Nro del MP|Fecha pago|Importe del MP|Id Subasta  
||298870.00|||A0002-00000445|06-10-2023|298870.00|Retenciones SICORE - Impto. a las Ganancias|0000-2023-000219|2023-11-13|3596.00|118  
||191422.00|||A0002-00000711|15-11-2023|191422.00|DEPOSITOS|123-009694/0|2023-11-23|191422.00|167  
||191422.00|||A0002-00000724|15-11-2023|191422.00|DEPOSITOS|123-009694/0|2023-11-24|191422.00|173  
||125840.00|||A0002-00000662|09-11-2023|125840.00|DEPOSITOS|123-009694/0|2023-11-15|125840.00|171  
||2831400.00|||A0002-00000686|14-11-2023|2831400.00|DEPOSITOS|123-009694/0|2023-11-16|2831400.00|170  
||868235.50|||A0002-00000649|08-11-2023|868235.50|DEPOSITOS|123-009694/0|2023-11-08|868235.50|83  
||22022.00|||A0002-00000655|08-11-2023|22022.00|DEPOSITOS|123-009694/0|2023-11-14|22022.00|175  
||107295.50|||A0002-00000707|15-11-2023|107295.50|DEPOSITOS|123-009694/0|2023-11-21|107295.50|165  
||3460600.00|||A0002-00000729|16-11-2023|3460600.00|DEPOSITOS|123-009694/0|2023-11-17|3404743.40|191  
||3460600.00|||A0002-00000729|16-11-2023|3460600.00|Retenciones SICORE - Impto. a las Ganancias|00000-2023-00006420|2023-11-17|55856.60|191  
||4423215.50|||A0002-00000733|16-11-2023|4423215.50|CHEQUES DE TERCEROS|90017958|2023-11-28|500000.00|173  
||4423215.50|||A0002-00000733|16-11-2023|4423215.50|DEPOSITOS|123-009694/0|2023-11-27|3923215.50|173  
||2674100.00|||A0002-00000565|24-10-2023|2674100.00|DEPOSITOS|123-009694/0|2023-11-01|2631243.40|110  
||2674100.00|||A0002-00000565|24-10-2023|2674100.00|Retenciones SICORE - Impto. a las Ganancias|224|2023-11-01|42856.60|110  
||1022450.00|||A0002-00000610|03-11-2023|1022450.00|DEPOSITOS|123-009694/0|2023-11-07|1005550.00|183  
||1022450.00|||A0002-00000610|03-11-2023|1022450.00|Retenciones SICORE - Impto. a las Ganancias|232|2023-11-07|16900.00|183  
||4876300.00|||A0002-00000456|10-10-2023|4876300.00|DEPOSITOS|123-009694/0|2023-11-07|4797044.00|118  
||4876300.00|||A0002-00000456|10-10-2023|4876300.00|Retenciones SICORE - Impto. a las Ganancias|0000-2023-000229|2023-11-06|79256.60|118  
||220220.00|||A0002-00000743|17-11-2023|220220.00|DEPOSITOS|123-009694/0|2023-11-22|216580.00|161  
||220220.00|||A0002-00000743|17-11-2023|220220.00|Retenciones SICORE - Impto. a las Ganancias|0000-2023-000254|2023-11-22|3640.00|161  
||9202050.00|||A0002-00000748|20-11-2023|9202050.00|DEPOSITOS|123-009694/0|2023-11-22|9049950.00|118  
||9202050.00|||A0002-00000748|20-11-2023|9202050.00|Retenciones SICORE - Impto. a las Ganancias|0000-2023-000257|2023-11-22|152100.00|118  
||574266.00|||A0002-00000731|16-11-2023|574266.00|DEPOSITOS|123-009694/0|2023-11-22|573174.00|173  
||574266.00|||A0002-00000731|16-11-2023|574266.00|Retenciones SICORE - Impto. a las Ganancias|0000-2023-000256|2023-11-22|1092.00|173  
||7623000.00|||A0002-00000556|23-10-2023|7623000.00|CHEQUES DE TERCEROS|00000574|2023-11-11|7623000.00|51  
||4561700.00|||A0002-00000585|01-11-2023|4561700.00|DEPOSITOS|123-009694/0|2023-11-09|4561700.00|136  
||31460.00|||A0002-00000671|10-11-2023|31460.00|DEPOSITOS|123-009694/0|2023-11-13|31460.00|145  
||448577.25|||A0002-00000652|08-11-2023|448577.25|DEPOSITOS|123-009694/0 |2023-11-09|448577.25|73  
||11325600.00|||A0002-00000669|10-11-2023|11325600.00|DEPOSITOS|123-009694/0|2023-11-15|11325600.00|72  
||382844.00|||A0002-00000718|15-11-2023|382844.00|DEPOSITOS|123-009694/0|2023-11-16|382844.00|173  
||2987550.50|||A0002-00000739|16-11-2023|2987550.50|DEPOSITOS|123-009694/0|2023-11-22|2987550.00|177  
||2987550.50|||A0002-00000739|16-11-2023|2987550.50|EFECTIVO||2023-11-22|0.50|177  
||205095.00|||A0002-00000760|22-11-2023|205095.00|DEPOSITOS|123-009694/0|2023-11-24|2461.14|185  
||205095.00|||A0002-00000760|22-11-2023|205095.00|DEPOSITOS|90017956|2023-11-24|202633.86|185  
||555412.00|||A0002-00000791|29-11-2023|555412.00|CHEQUES DE TERCEROS|00000013|2023-11-29|555412.00|201  
||1551885.50|||A0002-00000586|01-11-2023|1551885.50|CHEQUES DE TERCEROS|90000114|2023-11-06|1551885.50|148  
